acidgreen	0x8ffe09
pale	0xfff9d0
paleaqua	0xb8ffeb
paleblue	0xd0fefe
palebrown	0xb1916e
palecyan	0xb7fffa
palegold	0xfdde6c
palegreen	0xc7fdb5
palegrey	0xfdfdfe
palelavender	0xeecffe
palelightgreen	0xb1fc99
palelilac	0xe4cbff
palelime	0xbefd73
palelimegreen	0xb1ff65
palemagenta	0xd767ad
palemauve	0xfed0fc
paleolive	0xb9cc81
paleolivegreen	0xb1d27b
paleorange	0xffa756
palepeach	0xffe5ad
palepink	0xffcfdc
palepurple	0xb790d4
palered	0xd9544d
palerose	0xfdc1c5
palesalmon	0xffb19a
paleskyblue	0xbdf6fe
paleteal	0x82cbb2
paleturquoise	0xa5fbd5
paleviolet	0xceaefa
paleyellow	0xffff84
parchment	0xfefcaf
pastelblue	0xa2bffe
pastelgreen	0xb0ff9d
pastelorange	0xff964f
pastelpink	0xffbacd
pastelpurple	0xcaa0ff
pastelred	0xdb5856
pastelyellow	0xfffe71
pea	0xa4bf20
peach	0xffb07c
peachypink	0xff9a8a
peacockblue	0x016795
peagreen	0x8eab12
pear	0xcbf85f
peasoup	0x929901
peasoupgreen	0x94a617
periwinkle	0x8e82fe
periwinkleblue	0x8f99fb
perrywinkle	0x8f8ce7
petrol	0x005f6a
pigpink	0xe78ea5
pine	0x2b5d34
pinegreen	0x0a481e
pink	0xff81c0
pinkpurple	0xef1de7
pinkish	0xd46a7e
pinkishbrown	0xb17261
pinkishgrey	0xc8aca9
pinkishorange	0xff724c
pinkishpurple	0xd648d7
pinkishred	0xf10c45
pinkishtan	0xd99b82
pinkred	0xf5054f
pinky	0xfc86aa
pinkypurple	0xc94cbe
pinkyred	0xfc2647
pissyellow	0xddd618
pistachio	0xc0fa8b
plum	0x580f41
plumpurple	0x4e0550
poisongreen	0x40fd14
poo	0x8f7303
poobrown	0x885f01
poop	0x7f5e00
poopbrown	0x7a5901
poopgreen	0x6f7c00
powderblue	0xb1d1fc
powderpink	0xffb2d0
primaryblue	0x0804f9
prussianblue	0x004577
puce	0xa57e52
puke	0xa5a502
pukebrown	0x947706
pukegreen	0x9aae07
pukeyellow	0xc2be0e
pumpkin	0xe17701
pumpkinorange	0xfb7d07
pureblue	0x0203e2
purple	0x7e1e9c
purpleblue	0x5d21d0
purplepink	0xd725de
purplebrown	0x673a3f
purplegrey	0x866f85
purpleish	0x98568d
purpleishblue	0x6140ef
purpleishpink	0xdf4ec8
purplered	0x990147
purpley	0x8756e4
purpleyblue	0x5f34e7
purpleygrey	0x947e94
purpleypink	0xc83cb9
purplish	0x94568c
